"INCIDENT DATE","CLAIM DATE","COUNTY","DISTRICT","ROUTE","STATUS"
2023-06-06,"2023-07-12","Alameda",4,"84","unclear/unknown/pending"
2021-10-12,"2022-01-11","Alameda",4,"580","Deny"
2023-01-03,"2023-02-08","Alameda",4,"92","Deny"
2023-03-22,"2023-03-30","Alameda",4,"880","unclear/unknown/pending"
2018-02-05,"2018-04-09","Alameda",4,"580","Deny"
2019-02-17,"2019-03-27","Alameda",4,"880","Approve"
2023-03-04,"2023-03-18","Alameda",4,"880","unclear/unknown/pending"
2022-12-22,"2023-03-16","Alameda",4,"580","unclear/unknown/pending"
2023-02-25,"2023-04-18","Alameda",4,"880","unclear/unknown/pending"
2020-06-19,"2020-07-27","Alameda",4,"24","Approve"
2023-03-11,"2023-07-27","Alameda",4,"238","unclear/unknown/pending"
2020-09-19,"2020-10-22","Alameda",4,"61","Deny"
2022-11-22,"2022-11-23","Alameda",4,"84","Deny"
2023-03-16,"2023-04-18","Alameda",4,"880","Deny"
2022-12-03,"2022-12-29","Alameda",4,"680","Deny"
2022-12-31,"2023-01-17","Alameda",4,"880","Deny"
2019-03-13,"2019-03-25","Alameda",4,"880","Deny"
2019-03-22,"2019-05-03","Alameda",4,"24","Deny"
2021-12-30,"2022-01-18","Alameda",4,"580","unclear/unknown/pending"
2018-07-19,"2019-06-07","Alameda",4,"580","Deny"
2023-01-02,"2023-01-27","Alameda",4,"580","unclear/unknown/pending"
2022-12-31,"2023-01-17","Alameda",4,"680","Deny"
2019-11-20,"2019-12-18","Alameda",4,"580","Deny"
2021-07-17,"2021-08-30","Alameda",4,"92","Deny"
2019-03-03,"2019-08-30","Alameda",4,"24","Deny"
2018-04-20,"2018-05-15","Alameda",4,"580","Deny"
2021-12-30,"2022-08-24","Alameda",4,"580","Deny"
2018-08-05,"2018-08-22","Alameda",4,"580","Approve"
2022-04-28,"2022-07-21","Alameda",4,"13","Deny"
2023-01-25,"2023-01-30","Alameda",4,"580","unclear/unknown/pending"
2023-01-10,"2023-01-26","Alameda",4,"580","unclear/unknown/pending"
2023-01-14,"2023-01-24","Alameda",4,"880","Deny"
2019-07-23,"2019-08-07","Alameda",4,"580","Deny"
2019-03-14,"2019-05-29","Alameda",4,"13","Deny"
2022-03-22,"2022-03-22","Alameda",4,"84","unclear/unknown/pending"
2023-03-15,"2023-03-24","Alameda",4,"880","unclear/unknown/pending"
2023-04-23,"2023-05-03","Alameda",4,"NSH","Deny"
2018-01-08,"2018-03-27","Alameda",4,"880","Deny"
2023-03-30,"2023-04-07","Alameda",4,"NSH","Deny"
2019-02-13,"2019-03-12","Alameda",4,"80","Deny"
2018-04-06,"2018-04-30","Alameda",4,"80","Deny"
2018-06-12,"2018-06-21","Alameda",4,"880","Deny"
2023-03-29,"2023-05-11","Alameda",4,"84","unclear/unknown/pending"
2019-02-28,"2019-04-03","Alameda",4,"580","Deny"
2022-12-03,"2023-02-24","Alameda",4,"680","Deny"
2018-02-05,"2018-02-23","Alameda",4,"238","Deny"
2022-04-18,"2022-06-16","Alameda",4,"580","Deny"
2022-12-16,"2023-06-14","Alameda",4,"NSH","unclear/unknown/pending"
2018-05-09,"2018-05-22","Alameda",4,"880","unclear/unknown/pending"
2023-01-21,"2023-07-05","Alameda",4,"84","unclear/unknown/pending"
2022-10-18,"2022-11-01","Alameda",4,"880","unclear/unknown/pending"
